provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error
MoneyGram,AED,GHS,1000,,,,2026-04-28T01:05:56.932Z,false,unable to acquire
MoneyGram,AED,INR,1000,,,,2026-04-28T01:07:01.248Z,false,unable to acquire
MoneyGram,AED,KES,1000,,,,2026-04-28T01:08:06.365Z,false,unable to acquire
MoneyGram,AED,MXN,1000,,,,2026-04-28T01:09:11.051Z,false,unable to acquire
MoneyGram,AED,NGN,1000,,,,2026-04-28T01:10:15.668Z,false,unable to acquire
MoneyGram,AED,PHP,1000,,,,2026-04-28T01:11:20.369Z,false,unable to acquire
MoneyGram,AED,PKR,1000,,,,2026-04-28T01:12:25.067Z,false,unable to acquire
MoneyGram,AUD,GHS,1000,,,,2026-04-28T01:13:29.768Z,false,unable to acquire
MoneyGram,AUD,INR,1000,,,,2026-04-28T01:14:45.565Z,false,unable to acquire
MoneyGram,AUD,KES,1000,,,,2026-04-28T01:15:59.349Z,false,unable to acquire
MoneyGram,AUD,MXN,1000,,,,2026-04-28T01:17:14.478Z,false,unable to acquire
MoneyGram,AUD,NGN,1000,,,,2026-04-28T01:18:30.141Z,false,unable to acquire
MoneyGram,AUD,PHP,1000,,,,2026-04-28T01:19:44.587Z,false,unable to acquire
MoneyGram,AUD,PKR,1000,,,,2026-04-28T01:21:00.244Z,false,unable to acquire
MoneyGram,CAD,GHS,1000,,,,2026-04-28T01:22:13.523Z,false,unable to acquire
MoneyGram,CAD,INR,1000,,,,2026-04-28T01:23:27.338Z,false,unable to acquire
MoneyGram,CAD,KES,1000,,,,2026-04-28T01:24:41.290Z,false,unable to acquire
MoneyGram,CAD,MXN,1000,,,,2026-04-28T01:25:54.790Z,false,unable to acquire
MoneyGram,CAD,NGN,1000,,,,2026-04-28T01:27:10.031Z,false,unable to acquire
MoneyGram,CAD,PHP,1000,,,,2026-04-28T01:28:23.451Z,false,unable to acquire
MoneyGram,CAD,PKR,1000,,,,2026-04-28T01:29:37.889Z,false,unable to acquire
MoneyGram,EUR,GHS,1000,,,,2026-04-28T01:30:51.142Z,false,unable to acquire
MoneyGram,EUR,INR,1000,,,,2026-04-28T01:31:55.132Z,false,unable to acquire
MoneyGram,EUR,KES,1000,,,,2026-04-28T01:32:58.175Z,false,unable to acquire
MoneyGram,EUR,MXN,1000,,,,2026-04-28T01:34:01.163Z,false,unable to acquire
MoneyGram,EUR,NGN,1000,,,,2026-04-28T01:35:04.457Z,false,unable to acquire
MoneyGram,EUR,PHP,1000,,,,2026-04-28T01:36:07.389Z,false,unable to acquire
MoneyGram,EUR,PKR,1000,,,,2026-04-28T01:37:10.476Z,false,unable to acquire
MoneyGram,GBP,GHS,1000,,,,2026-04-28T01:38:13.400Z,false,unable to acquire
MoneyGram,GBP,INR,1000,,,,2026-04-28T01:38:57.698Z,false,unable to acquire
MoneyGram,GBP,KES,1000,,,,2026-04-28T01:40:12.204Z,false,unable to acquire
MoneyGram,GBP,MXN,1000,,,,2026-04-28T01:41:25.193Z,false,unable to acquire
MoneyGram,GBP,NGN,1000,,,,2026-04-28T01:42:38.816Z,false,unable to acquire
MoneyGram,GBP,PHP,1000,,,,2026-04-28T01:43:51.625Z,false,unable to acquire
MoneyGram,GBP,PKR,1000,,,,2026-04-28T01:45:06.060Z,false,unable to acquire
MoneyGram,PLN,GHS,1000,,,,2026-04-28T01:46:19.003Z,false,unable to acquire
MoneyGram,PLN,INR,1000,,,,2026-04-28T01:47:23.123Z,false,unable to acquire
MoneyGram,PLN,KES,1000,,,,2026-04-28T01:48:26.744Z,false,unable to acquire
MoneyGram,PLN,MXN,1000,,,,2026-04-28T01:49:30.601Z,false,unable to acquire
MoneyGram,PLN,NGN,1000,,,,2026-04-28T01:50:34.288Z,false,unable to acquire
MoneyGram,PLN,PHP,1000,,,,2026-04-28T01:51:38.107Z,false,unable to acquire
MoneyGram,PLN,PKR,1000,,,,2026-04-28T01:52:41.581Z,false,unable to acquire
MoneyGram,USD,GHS,1000,,,,2026-04-28T01:53:45.168Z,false,unable to acquire
MoneyGram,USD,INR,1000,,,,2026-04-28T01:54:58.025Z,false,unable to acquire
MoneyGram,USD,KES,1000,131.83,131830,,2026-04-28T01:56:12.683Z,true,
MoneyGram,USD,MXN,1000,,,,2026-04-28T01:56:56.564Z,false,unable to acquire
MoneyGram,USD,NGN,1000,,,,2026-04-28T01:58:09.389Z,false,unable to acquire
MoneyGram,USD,PHP,1000,,,,2026-04-28T01:59:23.475Z,false,unable to acquire
MoneyGram,USD,PKR,1000,,,,2026-04-28T02:00:37.065Z,false,unable to acquire
