provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error
Wise,AED,GHS,1000,3.0192,3019.2000000000003,,2026-04-26T05:16:39.970Z,true,
Wise,AED,INR,1000,25.6146,25614.6,,2026-04-26T05:16:43.707Z,true,
Wise,AED,KES,1000,35.2286,35228.6,,2026-04-26T05:16:46.861Z,true,
Wise,AED,MXN,1000,4.7349,4734.9,,2026-04-26T05:16:49.922Z,true,
Wise,AED,NGN,1000,372.737,372737,,2026-04-26T05:16:53.083Z,true,
Wise,AED,PHP,1000,16.5249,16524.899999999998,,2026-04-26T05:16:56.142Z,true,
Wise,AED,PKR,1000,76.0418,76041.79999999999,,2026-04-26T05:16:59.187Z,true,
Wise,AUD,GHS,1000,7.9282,7928.200000000001,,2026-04-26T05:17:02.385Z,true,
Wise,AUD,INR,1000,67.2623,67262.3,,2026-04-26T05:17:05.464Z,true,
Wise,AUD,KES,1000,92.5081,92508.1,,2026-04-26T05:17:08.525Z,true,
Wise,AUD,MXN,1000,12.4335,12433.5,,2026-04-26T05:17:11.662Z,true,
Wise,AUD,NGN,1000,978.784,978784,,2026-04-26T05:17:14.855Z,true,
Wise,AUD,PHP,1000,43.3934,43393.4,,2026-04-26T05:17:17.931Z,true,
Wise,AUD,PKR,1000,199.681,199681,,2026-04-26T05:17:21.230Z,true,
Wise,CAD,GHS,1000,8.1124,8112.399999999999,,2026-04-26T05:17:24.611Z,true,
Wise,CAD,INR,1000,68.8243,68824.29999999999,,2026-04-26T05:17:27.924Z,true,
Wise,CAD,KES,1000,94.6564,94656.40000000001,,2026-04-26T05:17:31.697Z,true,
Wise,CAD,MXN,1000,12.7223,12722.300000000001,,2026-04-26T05:17:34.981Z,true,
Wise,CAD,NGN,1000,1001.51,1001510,,2026-04-26T05:17:38.117Z,true,
Wise,CAD,PHP,1000,44.4011,44401.1,,2026-04-26T05:17:41.248Z,true,
Wise,CAD,PKR,1000,204.318,204318,,2026-04-26T05:17:44.344Z,true,
Wise,EUR,GHS,1000,12.9958,12995.8,,2026-04-26T05:17:47.448Z,true,
Wise,EUR,INR,1000,110.255,110255,,2026-04-26T05:17:50.575Z,true,
Wise,EUR,KES,1000,151.637,151637,,2026-04-26T05:17:53.667Z,true,
Wise,EUR,MXN,1000,20.3808,20380.8,,2026-04-26T05:17:56.781Z,true,
Wise,EUR,NGN,1000,1604.4,1604400,,2026-04-26T05:17:59.949Z,true,
Wise,EUR,PHP,1000,71.1295,71129.5,,2026-04-26T05:18:03.048Z,true,
Wise,EUR,PKR,1000,327.313,327313,,2026-04-26T05:18:07.679Z,true,
Wise,GBP,GHS,1000,15.0059,15005.9,,2026-04-26T05:18:11.008Z,true,
Wise,GBP,INR,1000,127.308,127308,,2026-04-26T05:18:14.274Z,true,
Wise,GBP,KES,1000,175.091,175091,,2026-04-26T05:18:17.451Z,true,
Wise,GBP,MXN,1000,23.5331,23533.100000000002,,2026-04-26T05:18:20.613Z,true,
Wise,GBP,NGN,1000,1852.56,1852560,,2026-04-26T05:18:23.716Z,true,
Wise,GBP,PHP,1000,82.1311,82131.1,,2026-04-26T05:18:26.800Z,true,
Wise,GBP,PKR,1000,377.938,377938,,2026-04-26T05:18:29.925Z,true,
Wise,PLN,GHS,1000,3.0629,3062.9,,2026-04-26T05:18:33.013Z,true,
Wise,PLN,INR,1000,25.9857,25985.7,,2026-04-26T05:18:36.119Z,true,
Wise,PLN,KES,1000,35.7389,35738.9,,2026-04-26T05:18:39.276Z,true,
Wise,PLN,MXN,1000,4.8035,4803.5,,2026-04-26T05:18:42.700Z,true,
Wise,PLN,NGN,1000,378.137,378137,,2026-04-26T05:18:45.836Z,true,
Wise,PLN,PHP,1000,16.7643,16764.3,,2026-04-26T05:18:49.033Z,true,
Wise,PLN,PKR,1000,77.1434,77143.4,,2026-04-26T05:18:52.112Z,true,
Wise,USD,GHS,1000,11.09,11090,,2026-04-26T05:18:55.284Z,true,
Wise,USD,INR,1000,94.0863,94086.29999999999,,2026-04-26T05:18:58.353Z,true,
Wise,USD,KES,1000,129.4,129400,,2026-04-26T05:19:01.409Z,true,
Wise,USD,MXN,1000,17.392,17392,,2026-04-26T05:19:04.543Z,true,
Wise,USD,NGN,1000,1369.12,1369120,,2026-04-26T05:19:07.587Z,true,
Wise,USD,PHP,1000,60.6985,60698.5,,2026-04-26T05:19:10.707Z,true,
Wise,USD,PKR,1000,279.313,279313,,2026-04-26T05:19:13.705Z,true,
Remitly,AED,GHS,1000,3.0392,3039.2000000000003,,2026-04-26T05:19:14.774Z,true,
Remitly,AED,INR,1000,25.77,25770,,2026-04-26T05:19:19.194Z,true,
Remitly,AED,KES,1000,35.05,35050,,2026-04-26T05:19:22.807Z,true,
Remitly,AED,MXN,1000,4.7277,4727.7,,2026-04-26T05:19:26.983Z,true,
Remitly,AED,NGN,1000,379.01,379010,,2026-04-26T05:19:30.587Z,true,
Remitly,AED,PHP,1000,16.59,16590,,2026-04-26T05:19:34.454Z,true,
Remitly,AED,PKR,1000,76.77,76770,,2026-04-26T05:19:38.102Z,true,
Remitly,AUD,GHS,1000,7.9305,7930.5,,2026-04-26T05:19:41.748Z,true,
Remitly,AUD,INR,1000,67.9,67900,,2026-04-26T05:19:45.444Z,true,
Remitly,AUD,KES,1000,94.52,94520,,2026-04-26T05:19:49.091Z,true,
Remitly,AUD,MXN,1000,12.35,12350,,2026-04-26T05:19:52.631Z,true,
Remitly,AUD,NGN,1000,1015.21,1015210,,2026-04-26T05:19:56.234Z,true,
Remitly,AUD,PHP,1000,44.76,44760,,2026-04-26T05:19:59.945Z,true,
Remitly,AUD,PKR,1000,207.73,207730,,2026-04-26T05:20:03.738Z,true,
Remitly,CAD,GHS,1000,8.11,8109.999999999999,,2026-04-26T05:20:07.396Z,true,
Remitly,CAD,INR,1000,69.83,69830,,2026-04-26T05:20:10.947Z,true,
Remitly,CAD,KES,1000,96.79,96790,,2026-04-26T05:20:14.567Z,true,
Remitly,CAD,MXN,1000,13.22,13220,,2026-04-26T05:20:18.189Z,true,
Remitly,CAD,NGN,1000,1029.36,1029359.9999999999,,2026-04-26T05:20:21.908Z,true,
Remitly,CAD,PHP,1000,45.09,45090,,2026-04-26T05:20:25.488Z,true,
Remitly,CAD,PKR,1000,208.61,208610,,2026-04-26T05:20:29.303Z,true,
Remitly,EUR,GHS,1000,129864,129864000,,2026-04-26T05:20:32.951Z,true,
Remitly,EUR,INR,1000,11129,11129000,,2026-04-26T05:20:36.502Z,true,
Remitly,EUR,KES,1000,15329,15329000,,2026-04-26T05:20:40.108Z,true,
Remitly,EUR,MXN,1000,2046,2046000,,2026-04-26T05:20:43.680Z,true,
Remitly,EUR,NGN,1000,1.63092,1630.9199999999998,,2026-04-26T05:20:47.351Z,true,
Remitly,EUR,PHP,1000,7078,7078000,,2026-04-26T05:20:51.108Z,true,
Remitly,EUR,PKR,1000,33482,33482000,,2026-04-26T05:20:54.825Z,true,
Remitly,GBP,GHS,1000,14.9837,14983.7,,2026-04-26T05:20:58.390Z,true,
Remitly,GBP,INR,1000,128.78,128780,,2026-04-26T05:21:01.960Z,true,
Remitly,GBP,KES,1000,173,173000,,2026-04-26T05:21:05.624Z,true,
Remitly,GBP,MXN,1000,23.27,23270,,2026-04-26T05:21:09.199Z,true,
Remitly,GBP,NGN,1000,1898.22,1898220,,2026-04-26T05:21:12.761Z,true,
Remitly,GBP,PHP,1000,83.6,83600,,2026-04-26T05:21:16.341Z,true,
Remitly,GBP,PKR,1000,382.2,382200,,2026-04-26T05:21:20.065Z,true,
Remitly,PLN,GHS,1000,30642,30642000,,2026-04-26T05:21:23.665Z,true,
Remitly,PLN,INR,1000,2595,2595000,,2026-04-26T05:21:27.239Z,true,
Remitly,PLN,KES,1000,3568,3568000,,2026-04-26T05:21:31.022Z,true,
Remitly,PLN,MXN,1000,48016,48016000,,2026-04-26T05:21:34.740Z,true,
Remitly,PLN,NGN,1000,38245,38245000,,2026-04-26T05:21:38.400Z,true,
Remitly,PLN,PHP,1000,1681,1681000,,2026-04-26T05:21:42.021Z,true,
Remitly,PLN,PKR,1000,7703,7703000,,2026-04-26T05:21:46.506Z,true,
Remitly,USD,GHS,1000,11.09,11090,,2026-04-26T05:21:50.295Z,true,
Remitly,USD,INR,1000,94.66,94660,,2026-04-26T05:21:53.991Z,true,
Remitly,USD,KES,1000,131.54,131540,,2026-04-26T05:21:57.718Z,true,
Remitly,USD,MXN,1000,17.73,17730,,2026-04-26T05:22:01.382Z,true,
Remitly,USD,NGN,1000,1407.34,1407340,,2026-04-26T05:22:05.092Z,true,
Remitly,USD,PHP,1000,62.03,62030,,2026-04-26T05:22:08.894Z,true,
Remitly,USD,PKR,1000,281.55,281550,,2026-04-26T05:22:12.708Z,true,
WorldRemit,AUD,GHS,1000,7.92917,7929.17,,2026-04-26T05:22:14.422Z,true,
WorldRemit,AUD,INR,1000,67.899,67899,,2026-04-26T05:22:28.131Z,true,
WorldRemit,AUD,KES,1000,93.059,93059,,2026-04-26T05:22:34.749Z,true,
WorldRemit,AUD,MXN,1000,12.174,12174,,2026-04-26T05:22:41.339Z,true,
WorldRemit,AUD,NGN,1000,1014.426,1014426,,2026-04-26T05:22:47.921Z,true,
WorldRemit,AUD,PHP,1000,43.35,43350,,2026-04-26T05:22:54.527Z,true,
WorldRemit,AUD,PKR,1000,207.385,207385,,2026-04-26T05:23:01.138Z,true,
WorldRemit,CAD,GHS,1000,8.08145,8081.45,,2026-04-26T05:23:07.728Z,true,
WorldRemit,CAD,INR,1000,68.372,68372,,2026-04-26T05:23:16.910Z,true,
WorldRemit,CAD,KES,1000,92.949,92949,,2026-04-26T05:23:23.522Z,true,
WorldRemit,CAD,MXN,1000,12.4185,12418.5,,2026-04-26T05:23:30.122Z,true,
WorldRemit,CAD,NGN,1000,979.342,979342,,2026-04-26T05:23:36.717Z,true,
WorldRemit,CAD,PHP,1000,44.74,44740,,2026-04-26T05:23:43.326Z,true,
WorldRemit,CAD,PKR,1000,203.076,203076,,2026-04-26T05:23:49.933Z,true,
WorldRemit,EUR,GHS,1000,12.9864,12986.4,,2026-04-26T05:23:56.522Z,true,
WorldRemit,EUR,INR,1000,107.659,107659,,2026-04-26T05:24:05.695Z,true,
WorldRemit,EUR,KES,1000,150.044,150044,,2026-04-26T05:24:12.299Z,true,
WorldRemit,EUR,MXN,1000,19.8845,19884.5,,2026-04-26T05:24:18.902Z,true,
WorldRemit,EUR,NGN,1000,1604.674,1604674,,2026-04-26T05:24:25.487Z,true,
WorldRemit,EUR,PHP,1000,70.671,70671,,2026-04-26T05:24:32.098Z,true,
WorldRemit,EUR,PKR,1000,323.77,323770,,2026-04-26T05:24:38.682Z,true,
WorldRemit,GBP,GHS,1000,14.9837,14983.7,,2026-04-26T05:24:45.273Z,true,
WorldRemit,GBP,INR,1000,126.601,126601,,2026-04-26T05:24:54.468Z,true,
WorldRemit,GBP,KES,1000,169.495,169495,,2026-04-26T05:25:01.068Z,true,
WorldRemit,GBP,MXN,1000,22.936,22936,,2026-04-26T05:25:07.671Z,true,
WorldRemit,GBP,NGN,1000,1862.76,1862760,,2026-04-26T05:25:14.282Z,true,
WorldRemit,GBP,PHP,1000,82.069,82069,,2026-04-26T05:25:20.865Z,true,
WorldRemit,GBP,PKR,1000,379.309,379309,,2026-04-26T05:25:27.447Z,true,
WorldRemit,PLN,GHS,1000,3.0103299999999997,3010.33,,2026-04-26T05:25:34.052Z,true,
WorldRemit,PLN,INR,1000,25.516489670206596,25516.489670206596,,2026-04-26T05:25:43.228Z,true,
WorldRemit,PLN,KES,1000,34.042,34042,,2026-04-26T05:25:49.833Z,true,
WorldRemit,PLN,MXN,1000,4.7532,4753.2,,2026-04-26T05:25:56.438Z,true,
WorldRemit,PLN,NGN,1000,371.184,371184,,2026-04-26T05:26:03.135Z,true,
WorldRemit,PLN,PHP,1000,16.25467490650187,16254.674906501868,,2026-04-26T05:26:09.960Z,true,
WorldRemit,PLN,PKR,1000,75.922,75922,,2026-04-26T05:26:16.670Z,true,
WorldRemit,USD,GHS,1000,11.09,11090,,2026-04-26T05:26:23.406Z,true,
WorldRemit,USD,INR,1000,93.883,93883,,2026-04-26T05:26:32.757Z,true,
WorldRemit,USD,KES,1000,127.958,127958,,2026-04-26T05:26:39.363Z,true,
WorldRemit,USD,MXN,1000,16.9749,16974.9,,2026-04-26T05:26:45.972Z,true,
WorldRemit,USD,NGN,1000,1377.063,1377063,,2026-04-26T05:26:52.692Z,true,
WorldRemit,USD,PHP,1000,61.59,61590,,2026-04-26T05:26:59.378Z,true,
WorldRemit,USD,PKR,1000,278.9,278900,,2026-04-26T05:27:05.982Z,true,
Western Union,AED,GHS,1000,3.0102,3010.2000000000003,,2026-04-26T05:27:10.607Z,true,
Western Union,AED,INR,1000,25.6283,25628.3,,2026-04-26T05:27:22.486Z,true,
Western Union,AED,KES,1000,35.0137,35013.7,,2026-04-26T05:27:27.704Z,true,
Western Union,AED,MXN,1000,4.5192,4519.2,,2026-04-26T05:27:38.494Z,true,
Western Union,AED,NGN,1000,364.9996,364999.6,,2026-04-26T05:27:49.547Z,true,
Western Union,AED,PHP,1000,16.5013,16501.3,,2026-04-26T05:28:00.578Z,true,
Western Union,AED,PKR,1000,75.8638,75863.8,,2026-04-26T05:28:05.760Z,true,
Western Union,AUD,GHS,1000,7.9986,7998.599999999999,,2026-04-26T05:28:16.705Z,true,
Western Union,AUD,INR,1000,68.6822,68682.2,,2026-04-26T05:28:22.915Z,true,
Western Union,AUD,KES,1000,92.4856,92485.6,,2026-04-26T05:28:28.153Z,true,
Western Union,AUD,MXN,1000,12.0054,12005.4,,2026-04-26T05:28:33.675Z,true,
Western Union,AUD,NGN,1000,968.0611,968061.1,,2026-04-26T05:28:39.052Z,true,
Western Union,AUD,PHP,1000,43.4558,43455.8,,2026-04-26T05:28:44.483Z,true,
Western Union,AUD,PKR,1000,199.3865,199386.5,,2026-04-26T05:28:49.912Z,true,
Western Union,CAD,GHS,1000,7.9477,7947.7,,2026-04-26T05:28:55.342Z,true,
Western Union,CAD,INR,1000,68.6107,68610.7,,2026-04-26T05:29:01.243Z,true,
Western Union,CAD,KES,1000,91.0059,91005.9,,2026-04-26T05:29:21.953Z,true,
Western Union,CAD,MXN,1000,12.5107,12510.7,,2026-04-26T05:29:27.701Z,true,
Western Union,CAD,NGN,1000,1002.4945,1002494.5,,2026-04-26T05:29:33.585Z,true,
Western Union,CAD,PHP,1000,44.7656,44765.6,,2026-04-26T05:29:39.382Z,true,
Western Union,CAD,PKR,1000,200.4883,200488.30000000002,,2026-04-26T05:29:45.035Z,true,
Western Union,EUR,GHS,1000,13.0241,13024.1,,2026-04-26T05:29:50.945Z,true,
Western Union,EUR,INR,1000,109.8604,109860.4,,2026-04-26T05:29:56.780Z,true,
Western Union,EUR,KES,1000,147.9416,147941.6,,2026-04-26T05:30:02.014Z,true,
Western Union,EUR,MXN,1000,20.2992,20299.2,,2026-04-26T05:30:07.643Z,true,
Western Union,EUR,NGN,1000,1603.7359,1603735.9,,2026-04-26T05:30:12.972Z,true,
Western Union,EUR,PHP,1000,70.3455,70345.5,,2026-04-26T05:30:18.410Z,true,
Western Union,EUR,PKR,1000,323.965,323965,,2026-04-26T05:30:23.661Z,true,
Western Union,GBP,GHS,1000,15.0395,15039.5,,2026-04-26T05:30:30.484Z,true,
Western Union,GBP,INR,1000,127.0521,127052.09999999999,,2026-04-26T05:30:41.251Z,true,
Western Union,GBP,KES,1000,170.6604,170660.40000000002,,2026-04-26T05:30:50.577Z,true,
Western Union,GBP,MXN,1000,23.53,23530,,2026-04-26T05:30:57.103Z,true,
Western Union,GBP,NGN,1000,1829.4192,1829419.2,,2026-04-26T05:31:03.250Z,true,
Western Union,GBP,PHP,1000,80.7628,80762.8,,2026-04-26T05:31:08.830Z,true,
Western Union,GBP,PKR,1000,385.9239,385923.9,,2026-04-26T05:31:14.152Z,true,
Western Union,PLN,GHS,1000,3.0377,3037.7000000000003,,2026-04-26T05:31:19.581Z,true,
Western Union,PLN,INR,1000,26.0656,26065.6,,2026-04-26T05:31:29.860Z,true,
Western Union,PLN,KES,1000,35.7621,35762.1,,2026-04-26T05:31:35.623Z,true,
Western Union,PLN,MXN,1000,4.7868,4786.8,,2026-04-26T05:31:41.097Z,true,
Western Union,PLN,NGN,1000,383.2001,383200.10000000003,,2026-04-26T05:31:46.592Z,true,
Western Union,PLN,PHP,1000,16.8034,16803.4,,2026-04-26T05:31:52.059Z,true,
Western Union,PLN,PKR,1000,75.5916,75591.6,,2026-04-26T05:31:57.279Z,true,
Western Union,USD,GHS,1000,10.2149,10214.9,,2026-04-26T05:32:02.668Z,true,
Western Union,USD,INR,1000,93.7378,93737.79999999999,,2026-04-26T05:32:08.752Z,true,
Western Union,USD,KES,1000,125.3773,125377.3,,2026-04-26T05:32:14.423Z,true,
Western Union,USD,MXN,1000,17.7473,17747.3,,2026-04-26T05:32:19.873Z,true,
Western Union,USD,NGN,1000,1336.525,1336525,,2026-04-26T05:32:25.557Z,true,
Western Union,USD,PHP,1000,59.9429,59942.9,,2026-04-26T05:32:31.160Z,true,
Western Union,USD,PKR,1000,277.1195,277119.5,,2026-04-26T05:32:36.867Z,true,
Xoom,AUD,GHS,1000,7.8111,7811.099999999999,,2026-04-26T05:32:40.588Z,true,
Xoom,AUD,INR,1000,67.9492,67949.20000000001,,2026-04-26T05:32:44.988Z,true,
Xoom,AUD,KES,1000,90.1024,90102.40000000001,,2026-04-26T05:32:47.795Z,true,
Xoom,AUD,MXN,1000,12,12000,,2026-04-26T05:32:50.819Z,true,
Xoom,AUD,NGN,1000,952.1334,952133.4,,2026-04-26T05:32:53.739Z,true,
Xoom,AUD,PHP,1000,45.1231,45123.1,,2026-04-26T05:32:56.775Z,true,
Xoom,AUD,PKR,1000,195.4241,195424.1,,2026-04-26T05:32:59.476Z,true,
Xoom,CAD,GHS,1000,8.0717,8071.7,,2026-04-26T05:33:02.601Z,true,
Xoom,CAD,INR,1000,68.0469,68046.9,,2026-04-26T05:33:05.316Z,true,
Xoom,CAD,KES,1000,90.1444,90144.40000000001,,2026-04-26T05:33:08.061Z,true,
Xoom,CAD,MXN,1000,12.3776,12377.599999999999,,2026-04-26T05:33:10.859Z,true,
Xoom,CAD,NGN,1000,979.0094,979009.4,,2026-04-26T05:33:13.628Z,true,
Xoom,CAD,PHP,1000,43.4471,43447.1,,2026-04-26T05:33:16.448Z,true,
Xoom,CAD,PKR,1000,196.8678,196867.8,,2026-04-26T05:33:19.199Z,true,
Xoom,EUR,GHS,1000,12.9271,12927.099999999999,,2026-04-26T05:33:22.044Z,true,
Xoom,EUR,INR,1000,109.0232,109023.2,,2026-04-26T05:33:24.892Z,true,
Xoom,EUR,KES,1000,144.5526,144552.6,,2026-04-26T05:33:27.654Z,true,
Xoom,EUR,MXN,1000,19.8972,19897.2,,2026-04-26T05:33:30.424Z,true,
Xoom,EUR,NGN,1000,1571.545,1571545,,2026-04-26T05:33:33.149Z,true,
Xoom,EUR,PHP,1000,69.2985,69298.5,,2026-04-26T05:33:35.913Z,true,
Xoom,EUR,PKR,1000,319.2082,319208.19999999995,,2026-04-26T05:33:38.707Z,true,
Xoom,GBP,GHS,1000,14.9314,14931.4,,2026-04-26T05:33:41.465Z,true,
Xoom,GBP,INR,1000,126.1939,126193.9,,2026-04-26T05:33:44.328Z,true,
Xoom,GBP,KES,1000,166.9647,166964.69999999998,,2026-04-26T05:33:47.108Z,true,
Xoom,GBP,MXN,1000,22.8085,22808.5,,2026-04-26T05:33:49.841Z,true,
Xoom,GBP,NGN,1000,1822.3112,1822311.2000000002,,2026-04-26T05:33:52.658Z,true,
Xoom,GBP,PHP,1000,79.7546,79754.59999999999,,2026-04-26T05:33:55.426Z,true,
Xoom,GBP,PKR,1000,368.7149,368714.9,,2026-04-26T05:33:58.209Z,true,
Xoom,USD,GHS,1000,11.0337,11033.699999999999,,2026-04-26T05:34:01.069Z,true,
Xoom,USD,INR,1000,93.9865,93986.5,,2026-04-26T05:34:03.861Z,true,
Xoom,USD,KES,1000,124.2633,124263.3,,2026-04-26T05:34:06.618Z,true,
Xoom,USD,MXN,1000,17.6121,17612.100000000002,,2026-04-26T05:34:09.384Z,true,
Xoom,USD,NGN,1000,1346.6183,1346618.3,,2026-04-26T05:34:12.098Z,true,
Xoom,USD,PHP,1000,58.5599,58559.9,,2026-04-26T05:34:14.900Z,true,
Xoom,USD,PKR,1000,269.7447,269744.7,,2026-04-26T05:34:17.638Z,true,
Taptap Send,AED,GHS,1000,0.01725,17.25,,2026-04-26T05:34:18.424Z,true,
Taptap Send,AED,INR,1000,94.23,94230,,2026-04-26T05:34:23.119Z,true,
Taptap Send,AED,KES,1000,128,128000,,2026-04-26T05:34:25.132Z,true,
Taptap Send,AED,MXN,1000,17.25,17250,,2026-04-26T05:34:27.138Z,true,
Taptap Send,AED,NGN,1000,1370,1370000,,2026-04-26T05:34:29.145Z,true,
Taptap Send,AED,PHP,1000,60.5,60500,,2026-04-26T05:34:31.152Z,true,
Taptap Send,AED,PKR,1000,281,281000,,2026-04-26T05:34:33.160Z,true,
Taptap Send,AUD,GHS,1000,7.93,7930,,2026-04-26T05:34:35.168Z,true,
Taptap Send,AUD,INR,1000,67.4,67400,,2026-04-26T05:34:37.180Z,true,
Taptap Send,AUD,KES,1000,91.31,91310,,2026-04-26T05:34:39.186Z,true,
Taptap Send,AUD,MXN,1000,12.31,12310,,2026-04-26T05:34:41.193Z,true,
Taptap Send,AUD,NGN,1000,982,982000,,2026-04-26T05:34:43.201Z,true,
Taptap Send,AUD,PHP,1000,43,43000,,2026-04-26T05:34:45.208Z,true,
Taptap Send,AUD,PKR,1000,200,200000,,2026-04-26T05:34:47.214Z,true,
Taptap Send,CAD,GHS,1000,8.1,8100,,2026-04-26T05:34:49.221Z,true,
Taptap Send,CAD,INR,1000,68.9,68900,,2026-04-26T05:34:51.234Z,true,
Taptap Send,CAD,KES,1000,91,91000,,2026-04-26T05:34:53.242Z,true,
Taptap Send,CAD,MXN,1000,12.4,12400,,2026-04-26T05:34:55.249Z,true,
Taptap Send,CAD,NGN,1000,1010,1010000,,2026-04-26T05:34:57.256Z,true,
Taptap Send,CAD,PHP,1000,44,44000,,2026-04-26T05:34:59.263Z,true,
Taptap Send,CAD,PKR,1000,205,205000,,2026-04-26T05:35:01.270Z,true,
Taptap Send,EUR,GHS,1000,12.99,12990,,2026-04-26T05:35:03.276Z,true,
Taptap Send,EUR,INR,1000,110,110000,,2026-04-26T05:35:05.288Z,true,
Taptap Send,EUR,KES,1000,149,149000,,2026-04-26T05:35:07.295Z,true,
Taptap Send,EUR,MXN,1000,20.19,20190,,2026-04-26T05:35:09.302Z,true,
Taptap Send,EUR,NGN,1000,1615,1615000,,2026-04-26T05:35:11.308Z,true,
Taptap Send,EUR,PHP,1000,70.5,70500,,2026-04-26T05:35:13.316Z,true,
Taptap Send,EUR,PKR,1000,329,329000,,2026-04-26T05:35:15.323Z,true,
Taptap Send,GBP,GHS,1000,14.98,14980,,2026-04-26T05:35:17.330Z,true,
Taptap Send,GBP,INR,1000,127.4,127400,,2026-04-26T05:35:19.341Z,true,
Taptap Send,GBP,KES,1000,173,173000,,2026-04-26T05:35:21.347Z,true,
Taptap Send,GBP,MXN,1000,23.31,23310,,2026-04-26T05:35:23.353Z,true,
