provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error
Remitly,AED,GHS,1000,3.0417,3041.7000000000003,,2026-04-28T00:36:07.854Z,true,
Remitly,AED,INR,1000,25.76,25760,,2026-04-28T00:36:11.631Z,true,
Remitly,AED,KES,1000,35.05,35050,,2026-04-28T00:36:15.424Z,true,
Remitly,AED,MXN,1000,4.7253,4725.3,,2026-04-28T00:36:18.982Z,true,
Remitly,AED,NGN,1000,379.01,379010,,2026-04-28T00:36:22.714Z,true,
Remitly,AED,PHP,1000,16.6,16600,,2026-04-28T00:36:26.610Z,true,
Remitly,AED,PKR,1000,76.74,76740,,2026-04-28T00:36:30.407Z,true,
Remitly,AUD,GHS,1000,7.9831,7983.1,,2026-04-28T00:36:34.069Z,true,
Remitly,AUD,INR,1000,68.31,68310,,2026-04-28T00:36:37.727Z,true,
Remitly,AUD,KES,1000,94.9,94900,,2026-04-28T00:36:41.400Z,true,
Remitly,AUD,MXN,1000,12.43,12430,,2026-04-28T00:36:45.194Z,true,
Remitly,AUD,NGN,1000,1021.07,1021070,,2026-04-28T00:36:48.767Z,true,
Remitly,AUD,PHP,1000,45.26,45260,,2026-04-28T00:36:52.478Z,true,
Remitly,AUD,PKR,1000,208.42,208420,,2026-04-28T00:36:56.370Z,true,
Remitly,CAD,GHS,1000,8.13,8130.000000000001,,2026-04-28T00:37:00.128Z,true,
Remitly,CAD,INR,1000,70.16,70160,,2026-04-28T00:37:03.716Z,true,
Remitly,CAD,KES,1000,96.99,96990,,2026-04-28T00:37:07.507Z,true,
Remitly,CAD,MXN,1000,13.26,13260,,2026-04-28T00:37:11.072Z,true,
Remitly,CAD,NGN,1000,1033.06,1033060,,2026-04-28T00:37:14.795Z,true,
Remitly,CAD,PHP,1000,45.26,45260,,2026-04-28T00:37:18.506Z,true,
Remitly,CAD,PKR,1000,209.42,209420,,2026-04-28T00:37:22.319Z,true,
Remitly,EUR,GHS,1000,129869,129869000,,2026-04-28T00:37:26.735Z,true,
Remitly,EUR,INR,1000,11129,11129000,,2026-04-28T00:37:30.546Z,true,
Remitly,EUR,KES,1000,15314,15314000,,2026-04-28T00:37:34.364Z,true,
Remitly,EUR,MXN,1000,2046,2046000,,2026-04-28T00:37:38.061Z,true,
Remitly,EUR,NGN,1000,1.63183,1631.83,,2026-04-28T00:37:41.726Z,true,
Remitly,EUR,PHP,1000,7085,7085000,,2026-04-28T00:37:45.792Z,true,
Remitly,EUR,PKR,1000,33489,33489000,,2026-04-28T00:37:49.633Z,true,
Remitly,GBP,GHS,1000,14.983,14983,,2026-04-28T00:37:54.063Z,true,
Remitly,GBP,INR,1000,128.73,128729.99999999999,,2026-04-28T00:37:57.786Z,true,
Remitly,GBP,KES,1000,172.76,172760,,2026-04-28T00:38:02.169Z,true,
Remitly,GBP,MXN,1000,23.27,23270,,2026-04-28T00:38:05.977Z,true,
Remitly,GBP,NGN,1000,1900.98,1900980,,2026-04-28T00:38:09.567Z,true,
Remitly,GBP,PHP,1000,83.69,83690,,2026-04-28T00:38:13.326Z,true,
Remitly,GBP,PKR,1000,383.5,383500,,2026-04-28T00:38:16.981Z,true,
Remitly,PLN,GHS,1000,30636,30636000,,2026-04-28T00:38:20.547Z,true,
Remitly,PLN,INR,1000,2591,2591000,,2026-04-28T00:38:24.461Z,true,
Remitly,PLN,KES,1000,3559,3559000,,2026-04-28T00:38:28.247Z,true,
Remitly,PLN,MXN,1000,47942,47942000,,2026-04-28T00:38:31.915Z,true,
Remitly,PLN,NGN,1000,38205,38205000,,2026-04-28T00:38:35.775Z,true,
Remitly,PLN,PHP,1000,1680,1680000,,2026-04-28T00:38:39.584Z,true,
Remitly,PLN,PKR,1000,7701,7701000,,2026-04-28T00:38:43.378Z,true,
Remitly,USD,GHS,1000,11.1,11100,,2026-04-28T00:38:46.990Z,true,
Remitly,USD,INR,1000,94.61,94610,,2026-04-28T00:38:50.608Z,true,
Remitly,USD,KES,1000,131.5,131500,,2026-04-28T00:38:54.428Z,true,
Remitly,USD,MXN,1000,17.72,17720,,2026-04-28T00:38:58.243Z,true,
Remitly,USD,NGN,1000,1407.4,1407400,,2026-04-28T00:39:01.971Z,true,
Remitly,USD,PHP,1000,62.05,62050,,2026-04-28T00:39:05.977Z,true,
Remitly,USD,PKR,1000,282.39,282390,,2026-04-28T00:39:09.995Z,true,
