provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error
Ria,AUD,GHS,1000,7.98367,7983.67,,2026-04-28T02:05:28.188Z,true,
Ria,AUD,INR,1000,67.76971,67769.71,,2026-04-28T02:05:32.761Z,true,
Ria,AUD,KES,1000,93.00212,93002.12000000001,,2026-04-28T02:05:35.766Z,true,
Ria,AUD,MXN,1000,12.49618,12496.18,,2026-04-28T02:05:38.783Z,true,
Ria,AUD,NGN,1000,979.06037,979060.37,,2026-04-28T02:05:41.761Z,true,
Ria,AUD,PHP,1000,43.33391,43333.91,,2026-04-28T02:05:44.764Z,true,
Ria,AUD,PKR,1000,200.46136,200461.36000000002,,2026-04-28T02:05:47.770Z,true,
Ria,CAD,GHS,1000,8.15065,8150.650000000001,,2026-04-28T02:05:50.803Z,true,
Ria,CAD,INR,1000,69.18717,69187.17,,2026-04-28T02:05:54.294Z,true,
Ria,CAD,KES,1000,94.94735,94947.35,,2026-04-28T02:05:57.311Z,true,
Ria,CAD,MXN,1000,12.75755,12757.55,,2026-04-28T02:06:00.310Z,true,
Ria,CAD,NGN,1000,989.72201,989722.01,,2026-04-28T02:06:03.293Z,true,
Ria,CAD,PHP,1000,44.35235,44352.35,,2026-04-28T02:06:06.290Z,true,
Ria,CAD,PKR,1000,204.65419,204654.19,,2026-04-28T02:06:09.330Z,true,
Ria,EUR,GHS,1000,13.0167,13016.7,,2026-04-28T02:06:12.313Z,true,
Ria,EUR,INR,1000,110.49284,110492.84,,2026-04-28T02:06:15.810Z,true,
Ria,EUR,KES,1000,151.63218,151632.18,,2026-04-28T02:06:18.792Z,true,
Ria,EUR,MXN,1000,20.37398,20373.98,,2026-04-28T02:06:21.759Z,true,
Ria,EUR,NGN,1000,1596.27602,1596276.02,,2026-04-28T02:06:24.742Z,true,
Ria,EUR,PHP,1000,71.19747,71197.47,,2026-04-28T02:06:27.736Z,true,
Ria,EUR,PKR,1000,326.83548,326835.48000000004,,2026-04-28T02:06:30.743Z,true,
Ria,GBP,GHS,1000,14.98479,14984.79,,2026-04-28T02:06:33.726Z,true,
Ria,GBP,INR,1000,127.59304,127593.04000000001,,2026-04-28T02:06:37.226Z,true,
Ria,GBP,KES,1000,175.09923,175099.23,,2026-04-28T02:06:40.208Z,true,
Ria,GBP,MXN,1000,23.52711,23527.11,,2026-04-28T02:06:43.209Z,true,
Ria,GBP,NGN,1000,1843.32041,1843320.4100000001,,2026-04-28T02:06:46.208Z,true,
Ria,GBP,PHP,1000,82.21621,82216.21,,2026-04-28T02:06:49.183Z,true,
Ria,GBP,PKR,1000,377.41751,377417.51,,2026-04-28T02:06:52.194Z,true,
Ria,PLN,GHS,1000,3.06617,3066.17,,2026-04-28T02:06:55.173Z,true,
Ria,PLN,INR,1000,26.02728,26027.280000000002,,2026-04-28T02:06:58.674Z,true,
Ria,PLN,KES,1000,35.71791,35717.91,,2026-04-28T02:07:01.656Z,true,
Ria,PLN,MXN,1000,4.79922,4799.22,,2026-04-28T02:07:04.624Z,true,
Ria,PLN,NGN,1000,4.79922,4799.22,,2026-04-28T02:07:07.607Z,true,
Ria,PLN,PHP,1000,16.77101,16771.010000000002,,2026-04-28T02:07:10.601Z,true,
Ria,PLN,PKR,1000,76.98815,76988.15000000001,,2026-04-28T02:07:13.607Z,true,
Ria,USD,GHS,1000,11.08818,11088.18,,2026-04-28T02:07:16.604Z,true,
Ria,USD,INR,1000,94.25028,94250.28,,2026-04-28T02:07:20.140Z,true,
Ria,USD,KES,1000,129.34648,129346.48000000001,,2026-04-28T02:07:23.107Z,true,
Ria,USD,MXN,1000,17.41671,17416.71,,2026-04-28T02:07:26.073Z,true,
Ria,USD,NGN,1000,1361.66792,1361667.9200000002,,2026-04-28T02:07:29.055Z,true,
Ria,USD,PHP,1000,60.73343,60733.43,,2026-04-28T02:07:32.035Z,true,
Ria,USD,PKR,1000,278.79977,278799.77,,2026-04-28T02:07:35.056Z,true,
