provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error
Sendwave,CAD,GHS,1000,8.12,8119.999999999999,,2026-04-28T00:56:00.242Z,true,
Sendwave,CAD,INR,1000,68.76,68760,,2026-04-28T00:56:19.666Z,true,
Sendwave,CAD,KES,1000,94.33,94330,,2026-04-28T00:56:31.047Z,true,
Sendwave,CAD,MXN,1000,12.66,12660,,2026-04-28T00:56:42.799Z,true,
Sendwave,CAD,NGN,1000,1009.16,1009160,,2026-04-28T00:56:54.165Z,true,
Sendwave,CAD,PHP,1000,44.73,44730,,2026-04-28T00:57:05.494Z,true,
Sendwave,CAD,PKR,1000,207.75,207750,,2026-04-28T00:57:16.865Z,true,
Sendwave,EUR,GHS,1000,12.98,12980,,2026-04-28T00:57:28.217Z,true,
Sendwave,EUR,INR,1000,109.92,109920,,2026-04-28T00:57:39.629Z,true,
Sendwave,EUR,KES,1000,150.01,150010,,2026-04-28T00:57:50.972Z,true,
Sendwave,EUR,MXN,1000,20.25,20250,,2026-04-28T00:58:02.346Z,true,
Sendwave,EUR,NGN,1000,1606.2,1606200,,2026-04-28T00:58:13.699Z,true,
Sendwave,EUR,PHP,1000,71.29,71290,,2026-04-28T00:58:25.077Z,true,
Sendwave,EUR,PKR,1000,329.49,329490,,2026-04-28T00:58:36.412Z,true,
Sendwave,GBP,GHS,1000,14.98,14980,,2026-04-28T00:58:47.742Z,true,
Sendwave,GBP,INR,1000,126.94,126940,,2026-04-28T00:59:39.893Z,true,
Sendwave,GBP,KES,1000,177.88,177880,,2026-04-28T00:59:51.239Z,true,
Sendwave,GBP,MXN,1000,23.29,23290,,2026-04-28T01:00:02.608Z,true,
Sendwave,GBP,NGN,1000,1865.74,1865740,,2026-04-28T01:00:13.955Z,true,
Sendwave,GBP,PHP,1000,83.02,83020,,2026-04-28T01:00:25.322Z,true,
Sendwave,GBP,PKR,1000,380.87,380870,,2026-04-28T01:00:36.644Z,true,
Sendwave,USD,GHS,1000,11.1,11100,,2026-04-28T01:00:48.037Z,true,
Sendwave,USD,INR,1000,93.76,93760,,2026-04-28T01:01:40.184Z,true,
Sendwave,USD,KES,1000,128.26,128259.99999999999,,2026-04-28T01:01:51.551Z,true,
Sendwave,USD,MXN,1000,17.27,17270,,2026-04-28T01:02:02.884Z,true,
Sendwave,USD,NGN,1000,1372.13,1372130,,2026-04-28T01:02:14.242Z,true,
Sendwave,USD,PHP,1000,61.05,61050,,2026-04-28T01:02:25.586Z,true,
Sendwave,USD,PKR,1000,284.39,284390,,2026-04-28T01:02:36.902Z,true,
