provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error
Taptap Send,AED,GHS,1000,0.0173,17.3,,2026-04-28T00:50:58.147Z,true,
Taptap Send,AED,INR,1000,94.2,94200,,2026-04-28T00:51:01.822Z,true,
Taptap Send,AED,KES,1000,128,128000,,2026-04-28T00:51:03.832Z,true,
Taptap Send,AED,MXN,1000,17.3,17300,,2026-04-28T00:51:05.838Z,true,
Taptap Send,AED,NGN,1000,1370,1370000,,2026-04-28T00:51:07.843Z,true,
Taptap Send,AED,PHP,1000,60.6,60600,,2026-04-28T00:51:09.849Z,true,
Taptap Send,AED,PKR,1000,281.5,281500,,2026-04-28T00:51:11.856Z,true,
Taptap Send,AUD,GHS,1000,7.93,7930,,2026-04-28T00:51:13.863Z,true,
Taptap Send,AUD,INR,1000,67.6,67600,,2026-04-28T00:51:15.872Z,true,
Taptap Send,AUD,KES,1000,91.31,91310,,2026-04-28T00:51:17.877Z,true,
Taptap Send,AUD,MXN,1000,12.38,12380,,2026-04-28T00:51:19.883Z,true,
Taptap Send,AUD,NGN,1000,982,982000,,2026-04-28T00:51:21.890Z,true,
Taptap Send,AUD,PHP,1000,43.5,43500,,2026-04-28T00:51:23.896Z,true,
Taptap Send,AUD,PKR,1000,200,200000,,2026-04-28T00:51:25.902Z,true,
Taptap Send,CAD,GHS,1000,8.12,8119.999999999999,,2026-04-28T00:51:27.908Z,true,
Taptap Send,CAD,INR,1000,69,69000,,2026-04-28T00:51:29.920Z,true,
Taptap Send,CAD,KES,1000,91,91000,,2026-04-28T00:51:31.926Z,true,
Taptap Send,CAD,MXN,1000,12.4,12400,,2026-04-28T00:51:33.932Z,true,
Taptap Send,CAD,NGN,1000,1010,1010000,,2026-04-28T00:51:35.938Z,true,
Taptap Send,CAD,PHP,1000,44,44000,,2026-04-28T00:51:37.944Z,true,
Taptap Send,CAD,PKR,1000,205,205000,,2026-04-28T00:51:39.952Z,true,
Taptap Send,EUR,GHS,1000,12.99,12990,,2026-04-28T00:51:41.958Z,true,
Taptap Send,EUR,INR,1000,110.3,110300,,2026-04-28T00:51:43.968Z,true,
Taptap Send,EUR,KES,1000,149,149000,,2026-04-28T00:51:45.974Z,true,
Taptap Send,EUR,MXN,1000,20.18,20180,,2026-04-28T00:51:47.981Z,true,
Taptap Send,EUR,NGN,1000,1615,1615000,,2026-04-28T00:51:49.989Z,true,
Taptap Send,EUR,PHP,1000,71,71000,,2026-04-28T00:51:51.996Z,true,
Taptap Send,EUR,PKR,1000,330,330000,,2026-04-28T00:51:54.001Z,true,
Taptap Send,GBP,GHS,1000,14.98,14980,,2026-04-28T00:51:56.007Z,true,
Taptap Send,GBP,INR,1000,127.5,127500,,2026-04-28T00:51:58.018Z,true,
Taptap Send,GBP,KES,1000,173,173000,,2026-04-28T00:52:00.024Z,true,
Taptap Send,GBP,MXN,1000,23.31,23310,,2026-04-28T00:52:02.031Z,true,
Taptap Send,GBP,NGN,1000,1850,1850000,,2026-04-28T00:52:04.037Z,true,
Taptap Send,GBP,PHP,1000,81,81000,,2026-04-28T00:52:06.042Z,true,
Taptap Send,GBP,PKR,1000,382,382000,,2026-04-28T00:52:08.049Z,true,
Taptap Send,PLN,GHS,1000,3.04,3040,,2026-04-28T00:52:10.055Z,true,
Taptap Send,PLN,INR,1000,25.77,25770,,2026-04-28T00:52:12.065Z,true,
Taptap Send,PLN,KES,1000,35.38,35380,,2026-04-28T00:52:14.070Z,true,
Taptap Send,PLN,MXN,1000,4.75,4750,,2026-04-28T00:52:16.076Z,true,
Taptap Send,PLN,NGN,1000,371.76,371760,,2026-04-28T00:52:18.083Z,true,
Taptap Send,PLN,PHP,1000,16.6,16600,,2026-04-28T00:52:20.089Z,true,
Taptap Send,PLN,PKR,1000,76.22,76220,,2026-04-28T00:52:22.096Z,true,
Taptap Send,USD,GHS,1000,11.1,11100,,2026-04-28T00:52:24.101Z,true,
Taptap Send,USD,INR,1000,94.2,94200,,2026-04-28T00:52:26.116Z,true,
Taptap Send,USD,KES,1000,128,128000,,2026-04-28T00:52:28.123Z,true,
Taptap Send,USD,MXN,1000,17.3,17300,,2026-04-28T00:52:30.128Z,true,
Taptap Send,USD,NGN,1000,1370,1370000,,2026-04-28T00:52:32.134Z,true,
Taptap Send,USD,PHP,1000,60.6,60600,,2026-04-28T00:52:34.140Z,true,
Taptap Send,USD,PKR,1000,281.5,281500,,2026-04-28T00:52:36.148Z,true,
