provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error
Western Union,AED,GHS,1000,3.0102,3010.2000000000003,,2026-04-28T00:44:05.915Z,true,
Western Union,AED,INR,1000,25.6015,25601.5,,2026-04-28T00:44:16.601Z,true,
Western Union,AED,KES,1000,35.0177,35017.7,,2026-04-28T00:44:21.823Z,true,
Western Union,AED,MXN,1000,4.5064,4506.400000000001,,2026-04-28T00:44:32.542Z,true,
Western Union,AED,NGN,1000,364.7361,364736.10000000003,,2026-04-28T00:44:42.993Z,true,
Western Union,AED,PHP,1000,16.5007,16500.699999999997,,2026-04-28T00:44:53.559Z,true,
Western Union,AED,PKR,1000,75.8538,75853.8,,2026-04-28T00:44:58.802Z,true,
Western Union,AUD,GHS,1000,8.0467,8046.7,,2026-04-28T00:45:09.001Z,true,
Western Union,AUD,INR,1000,69.2264,69226.4,,2026-04-28T00:45:14.762Z,true,
Western Union,AUD,KES,1000,93.0533,93053.29999999999,,2026-04-28T00:45:20.024Z,true,
Western Union,AUD,MXN,1000,12.0434,12043.4,,2026-04-28T00:45:25.482Z,true,
Western Union,AUD,NGN,1000,973.1872,973187.2,,2026-04-28T00:45:30.750Z,true,
Western Union,AUD,PHP,1000,43.7157,43715.7,,2026-04-28T00:45:35.979Z,true,
Western Union,AUD,PKR,1000,200.5606,200560.6,,2026-04-28T00:45:41.342Z,true,
Western Union,CAD,GHS,1000,7.9734,7973.4,,2026-04-28T00:45:46.589Z,true,
Western Union,CAD,INR,1000,68.7703,68770.3,,2026-04-28T00:45:51.988Z,true,
Western Union,CAD,KES,1000,91.3102,91310.2,,2026-04-28T00:45:57.422Z,true,
Western Union,CAD,MXN,1000,12.5154,12515.4,,2026-04-28T00:46:03.012Z,true,
Western Union,CAD,NGN,1000,1005.0041,1005004.1,,2026-04-28T00:46:08.576Z,true,
Western Union,CAD,PHP,1000,45.0695,45069.5,,2026-04-28T00:46:14.088Z,true,
Western Union,CAD,PKR,1000,201.1089,201108.9,,2026-04-28T00:46:19.588Z,true,
Western Union,EUR,GHS,1000,12.9795,12979.5,,2026-04-28T00:46:25.284Z,true,
Western Union,EUR,INR,1000,109.9586,109958.6,,2026-04-28T00:46:30.822Z,true,
Western Union,EUR,KES,1000,148.2244,148224.4,,2026-04-28T00:46:36.075Z,true,
Western Union,EUR,MXN,1000,20.2779,20277.899999999998,,2026-04-28T00:46:41.290Z,true,
Western Union,EUR,NGN,1000,1605.4549,1605454.9,,2026-04-28T00:46:46.492Z,true,
Western Union,EUR,PHP,1000,70.4688,70468.8,,2026-04-28T00:46:51.733Z,true,
Western Union,EUR,PKR,1000,324.5037,324503.69999999995,,2026-04-28T00:46:56.939Z,true,
Western Union,GBP,GHS,1000,14.9707,14970.7,,2026-04-28T00:47:02.021Z,true,
Western Union,GBP,INR,1000,127.0951,127095.1,,2026-04-28T00:47:11.494Z,true,
Western Union,GBP,KES,1000,170.8918,170891.8,,2026-04-28T00:47:20.650Z,true,
Western Union,GBP,MXN,1000,23.4922,23492.2,,2026-04-28T00:47:26.177Z,true,
Western Union,GBP,NGN,1000,1830.3648,1830364.8,,2026-04-28T00:47:31.470Z,true,
Western Union,GBP,PHP,1000,80.8596,80859.6,,2026-04-28T00:47:36.745Z,true,
Western Union,GBP,PKR,1000,385.2922,385292.19999999995,,2026-04-28T00:47:41.866Z,true,
Western Union,PLN,GHS,1000,3.0348,3034.8,,2026-04-28T00:47:47.001Z,true,
Western Union,PLN,INR,1000,26.0177,26017.7,,2026-04-28T00:47:56.493Z,true,
Western Union,PLN,KES,1000,35.7326,35732.6,,2026-04-28T00:48:01.992Z,true,
Western Union,PLN,MXN,1000,4.7688,4768.799999999999,,2026-04-28T00:48:07.233Z,true,
Western Union,PLN,NGN,1000,382.5635,382563.5,,2026-04-28T00:48:12.432Z,true,
Western Union,PLN,PHP,1000,16.7869,16786.899999999998,,2026-04-28T00:48:17.663Z,true,
Western Union,PLN,PKR,1000,75.5105,75510.5,,2026-04-28T00:48:22.853Z,true,
Western Union,USD,GHS,1000,10.2149,10214.9,,2026-04-28T00:48:28.060Z,true,
Western Union,USD,INR,1000,93.6534,93653.40000000001,,2026-04-28T00:48:33.713Z,true,
Western Union,USD,KES,1000,125.3919,125391.90000000001,,2026-04-28T00:48:39.342Z,true,
Western Union,USD,MXN,1000,17.7373,17737.300000000003,,2026-04-28T00:48:44.930Z,true,
Western Union,USD,NGN,1000,1335.56,1335560,,2026-04-28T00:48:50.529Z,true,
Western Union,USD,PHP,1000,59.9405,59940.5,,2026-04-28T00:48:56.140Z,true,
Western Union,USD,PKR,1000,277.0829,277082.9,,2026-04-28T00:49:01.693Z,true,
