provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error
Wise,AED,GHS,1000,3.0225,3022.5,,2026-04-28T00:33:27.694Z,true,
Wise,AED,INR,1000,25.6268,25626.8,,2026-04-28T00:33:31.411Z,true,
Wise,AED,KES,1000,,,,2026-04-28T00:33:34.482Z,false,unable to acquire
Wise,AED,MXN,1000,4.732,4732,,2026-04-28T00:33:38.717Z,true,
Wise,AED,NGN,1000,371.178,371178,,2026-04-28T00:33:41.743Z,true,
Wise,AED,PHP,1000,16.5374,16537.4,,2026-04-28T00:33:44.831Z,true,
Wise,AED,PKR,1000,76.0553,76055.3,,2026-04-28T00:33:47.942Z,true,
Wise,AUD,GHS,1000,7.9809,7980.900000000001,,2026-04-28T00:33:51.169Z,true,
Wise,AUD,INR,1000,67.6683,67668.3,,2026-04-28T00:33:54.294Z,true,
Wise,AUD,KES,1000,92.9552,92955.20000000001,,2026-04-28T00:33:57.404Z,true,
Wise,AUD,MXN,1000,12.4945,12494.5,,2026-04-28T00:34:00.515Z,true,
Wise,AUD,NGN,1000,980.173,980173,,2026-04-28T00:34:03.843Z,true,
Wise,AUD,PHP,1000,43.6704,43670.4,,2026-04-28T00:34:06.955Z,true,
Wise,AUD,PKR,1000,200.84,200840,,2026-04-28T00:34:11.413Z,true,
Wise,CAD,GHS,1000,8.1489,8148.9,,2026-04-28T00:34:14.430Z,true,
Wise,CAD,INR,1000,69.0926,69092.6,,2026-04-28T00:34:17.518Z,true,
Wise,CAD,KES,1000,94.9051,94905.1,,2026-04-28T00:34:20.698Z,true,
Wise,CAD,MXN,1000,12.7566,12756.6,,2026-04-28T00:34:23.853Z,true,
Wise,CAD,NGN,1000,1000.73,1000730,,2026-04-28T00:34:26.937Z,true,
Wise,CAD,PHP,1000,44.5865,44586.5,,2026-04-28T00:34:30.005Z,true,
Wise,CAD,PKR,1000,203.21647000000002,203216.47,,2026-04-28T00:34:33.078Z,true,
Wise,EUR,GHS,1000,13.0092,13009.2,,2026-04-28T00:34:36.223Z,true,
Wise,EUR,INR,1000,110.302,110302,,2026-04-28T00:34:39.281Z,true,
Wise,EUR,KES,1000,151.51,151510,,2026-04-28T00:34:42.300Z,true,
Wise,EUR,MXN,1000,20.3651,20365.100000000002,,2026-04-28T00:34:45.449Z,true,
Wise,EUR,NGN,1000,1597.61,1597610,,2026-04-28T00:34:48.635Z,true,
Wise,EUR,PHP,1000,71.1797,71179.7,,2026-04-28T00:34:51.711Z,true,
Wise,EUR,PKR,1000,327.355,327355,,2026-04-28T00:34:54.915Z,true,
Wise,GBP,GHS,1000,15.0233,15023.300000000001,,2026-04-28T00:34:58.035Z,true,
Wise,GBP,INR,1000,127.37,127370,,2026-04-28T00:35:01.576Z,true,
Wise,GBP,KES,1000,174.954,174954,,2026-04-28T00:35:04.700Z,true,
Wise,GBP,MXN,1000,23.5178,23517.800000000003,,2026-04-28T00:35:07.999Z,true,
Wise,GBP,NGN,1000,1844.96,1844960,,2026-04-28T00:35:11.312Z,true,
Wise,GBP,PHP,1000,82.1998,82199.8,,2026-04-28T00:35:14.462Z,true,
Wise,GBP,PKR,1000,378.036,378036,,2026-04-28T00:35:18.136Z,true,
Wise,PLN,GHS,1000,3.0641,3064.1,,2026-04-28T00:35:21.301Z,true,
Wise,PLN,INR,1000,25.9798,25979.8,,2026-04-28T00:35:24.565Z,true,
Wise,PLN,KES,1000,35.6857,35685.7,,2026-04-28T00:35:33.470Z,true,
Wise,PLN,MXN,1000,4.797,4797,,2026-04-28T00:35:36.565Z,true,
Wise,PLN,NGN,1000,376.291,376291,,2026-04-28T00:35:39.600Z,true,
Wise,PLN,PHP,1000,16.7651,16765.1,,2026-04-28T00:35:42.669Z,true,
Wise,PLN,PKR,1000,77.1029,77102.90000000001,,2026-04-28T00:35:45.635Z,true,
Wise,USD,GHS,1000,11.1,11100,,2026-04-28T00:35:48.732Z,true,
Wise,USD,INR,1000,94.1145,94114.5,,2026-04-28T00:35:51.801Z,true,
Wise,USD,KES,1000,129.275,129275,,2026-04-28T00:35:54.852Z,true,
Wise,USD,MXN,1000,17.3787,17378.699999999997,,2026-04-28T00:35:57.767Z,true,
Wise,USD,NGN,1000,1363.15,1363150,,2026-04-28T00:36:00.723Z,true,
Wise,USD,PHP,1000,60.734,60734,,2026-04-28T00:36:03.742Z,true,
Wise,USD,PKR,1000,279.313,279313,,2026-04-28T00:36:06.789Z,true,
