provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error
WorldRemit,AUD,GHS,1000,7.98222,7982.22,,2026-04-28T00:39:11.710Z,true,
WorldRemit,AUD,INR,1000,68.275,68275,,2026-04-28T00:39:24.232Z,true,
WorldRemit,AUD,KES,1000,93.597,93597,,2026-04-28T00:39:30.833Z,true,
WorldRemit,AUD,MXN,1000,12.247,12247,,2026-04-28T00:39:37.436Z,true,
WorldRemit,AUD,NGN,1000,1021.477,1021477,,2026-04-28T00:39:44.041Z,true,
WorldRemit,AUD,PHP,1000,43.666,43666,,2026-04-28T00:39:50.661Z,true,
WorldRemit,AUD,PKR,1000,208.585,208585,,2026-04-28T00:39:57.285Z,true,
WorldRemit,CAD,GHS,1000,8.12524,8125.24,,2026-04-28T00:40:03.874Z,true,
WorldRemit,CAD,INR,1000,68.664,68664,,2026-04-28T00:40:13.080Z,true,
WorldRemit,CAD,KES,1000,93.368,93368,,2026-04-28T00:40:19.682Z,true,
WorldRemit,CAD,MXN,1000,12.4772,12477.2,,2026-04-28T00:40:26.287Z,true,
WorldRemit,CAD,NGN,1000,984.903,984903,,2026-04-28T00:40:32.869Z,true,
WorldRemit,CAD,PHP,1000,45.009,45009,,2026-04-28T00:40:39.456Z,true,
WorldRemit,CAD,PKR,1000,203.992,203992,,2026-04-28T00:40:46.076Z,true,
WorldRemit,EUR,GHS,1000,12.9869,12986.9,,2026-04-28T00:40:52.702Z,true,
WorldRemit,EUR,INR,1000,107.611,107611,,2026-04-28T00:41:01.882Z,true,
WorldRemit,EUR,KES,1000,150.013,150013,,2026-04-28T00:41:08.470Z,true,
WorldRemit,EUR,MXN,1000,19.8846,19884.6,,2026-04-28T00:41:15.063Z,true,
WorldRemit,EUR,NGN,1000,1606.205,1606205,,2026-04-28T00:41:21.656Z,true,
WorldRemit,EUR,PHP,1000,70.761,70761,,2026-04-28T00:41:28.273Z,true,
WorldRemit,EUR,PKR,1000,323.704,323704,,2026-04-28T00:41:34.902Z,true,
WorldRemit,GBP,GHS,1000,14.983,14983,,2026-04-28T00:41:41.503Z,true,
WorldRemit,GBP,INR,1000,126.627,126627,,2026-04-28T00:41:50.682Z,true,
WorldRemit,GBP,KES,1000,169.495,169495,,2026-04-28T00:41:57.284Z,true,
WorldRemit,GBP,MXN,1000,22.951,22951,,2026-04-28T00:42:03.877Z,true,
WorldRemit,GBP,NGN,1000,1865.749,1865749,,2026-04-28T00:42:10.485Z,true,
WorldRemit,GBP,PHP,1000,82.228,82228,,2026-04-28T00:42:17.082Z,true,
WorldRemit,GBP,PKR,1000,379.477,379477,,2026-04-28T00:42:23.680Z,true,
WorldRemit,PLN,GHS,1000,3.01186,3011.86,,2026-04-28T00:42:30.287Z,true,
WorldRemit,PLN,INR,1000,25.500510010200202,25500.510010200203,,2026-04-28T00:42:39.489Z,true,
WorldRemit,PLN,KES,1000,34.028,34028,,2026-04-28T00:42:46.087Z,true,
WorldRemit,PLN,MXN,1000,4.7523,4752.3,,2026-04-28T00:42:52.681Z,true,
WorldRemit,PLN,NGN,1000,371.469,371469,,2026-04-28T00:42:59.287Z,true,
WorldRemit,PLN,PHP,1000,16.272,16271.999999999998,,2026-04-28T00:43:05.894Z,true,
WorldRemit,PLN,PKR,1000,75.892,75892,,2026-04-28T00:43:12.511Z,true,
WorldRemit,USD,GHS,1000,11.1,11100,,2026-04-28T00:43:19.116Z,true,
WorldRemit,USD,INR,1000,93.86,93860,,2026-04-28T00:43:28.310Z,true,
WorldRemit,USD,KES,1000,127.958,127958,,2026-04-28T00:43:34.894Z,true,
WorldRemit,USD,MXN,1000,16.9784,16978.4,,2026-04-28T00:43:41.497Z,true,
WorldRemit,USD,NGN,1000,1374.079,1374079,,2026-04-28T00:43:48.081Z,true,
WorldRemit,USD,PHP,1000,61.682,61682,,2026-04-28T00:43:54.699Z,true,
WorldRemit,USD,PKR,1000,278.9,278900,,2026-04-28T00:44:01.308Z,true,
