provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error
Xoom,AUD,GHS,1000,7.8585,7858.5,,2026-04-28T00:49:05.221Z,true,
Xoom,AUD,INR,1000,68.2223,68222.3,,2026-04-28T00:49:08.779Z,true,
Xoom,AUD,KES,1000,90.5016,90501.59999999999,,2026-04-28T00:49:11.957Z,true,
Xoom,AUD,MXN,1000,12.06,12060,,2026-04-28T00:49:15.227Z,true,
Xoom,AUD,NGN,1000,954.3155,954315.5,,2026-04-28T00:49:18.562Z,true,
Xoom,AUD,PHP,1000,45.3524,45352.4,,2026-04-28T00:49:21.706Z,true,
Xoom,AUD,PKR,1000,196.2377,196237.69999999998,,2026-04-28T00:49:24.884Z,true,
Xoom,CAD,GHS,1000,8.1062,8106.2,,2026-04-28T00:49:28.288Z,true,
Xoom,CAD,INR,1000,68.2113,68211.29999999999,,2026-04-28T00:49:31.643Z,true,
Xoom,CAD,KES,1000,90.3818,90381.8,,2026-04-28T00:49:35.022Z,true,
Xoom,CAD,MXN,1000,12.4172,12417.199999999999,,2026-04-28T00:49:38.408Z,true,
Xoom,CAD,NGN,1000,979.4982,979498.2,,2026-04-28T00:49:41.617Z,true,
Xoom,CAD,PHP,1000,43.5897,43589.7,,2026-04-28T00:49:44.795Z,true,
Xoom,CAD,PKR,1000,197.3717,197371.7,,2026-04-28T00:49:48.148Z,true,
Xoom,EUR,GHS,1000,12.9468,12946.8,,2026-04-28T00:49:51.483Z,true,
Xoom,EUR,INR,1000,109.0123,109012.3,,2026-04-28T00:49:54.857Z,true,
Xoom,EUR,KES,1000,144.5372,144537.2,,2026-04-28T00:49:57.901Z,true,
Xoom,EUR,MXN,1000,19.9063,19906.300000000003,,2026-04-28T00:50:01.299Z,true,
Xoom,EUR,NGN,1000,1568.0317,1568031.7,,2026-04-28T00:50:04.487Z,true,
Xoom,EUR,PHP,1000,69.3359,69335.9,,2026-04-28T00:50:07.948Z,true,
Xoom,EUR,PKR,1000,319.2217,319221.7,,2026-04-28T00:50:11.140Z,true,
Xoom,GBP,GHS,1000,14.9502,14950.2,,2026-04-28T00:50:14.223Z,true,
Xoom,GBP,INR,1000,126.166,126166,,2026-04-28T00:50:17.286Z,true,
Xoom,GBP,KES,1000,166.9027,166902.7,,2026-04-28T00:50:20.423Z,true,
Xoom,GBP,MXN,1000,22.8129,22812.899999999998,,2026-04-28T00:50:23.687Z,true,
Xoom,GBP,NGN,1000,1817.7559,1817755.9000000001,,2026-04-28T00:50:26.777Z,true,
Xoom,GBP,PHP,1000,79.7765,79776.5,,2026-04-28T00:50:30.132Z,true,
Xoom,GBP,PKR,1000,368.6858,368685.8,,2026-04-28T00:50:33.375Z,true,
Xoom,USD,GHS,1000,11.0439,11043.900000000001,,2026-04-28T00:50:36.791Z,true,
Xoom,USD,INR,1000,93.9311,93931.1,,2026-04-28T00:50:40.122Z,true,
Xoom,USD,KES,1000,124.1759,124175.9,,2026-04-28T00:50:43.591Z,true,
Xoom,USD,MXN,1000,17.6032,17603.2,,2026-04-28T00:50:46.925Z,true,
Xoom,USD,NGN,1000,1342.8056,1342805.5999999999,,2026-04-28T00:50:50.224Z,true,
Xoom,USD,PHP,1000,58.6146,58614.600000000006,,2026-04-28T00:50:53.412Z,true,
Xoom,USD,PKR,1000,269.7139,269713.9,,2026-04-28T00:50:56.568Z,true,
